Source;S_code;S_family;S_category;Target;T_code;T_family;T_category;Type;Id;Weight;Group_01;Group_02;Group_03;Matchings Count
10;SA1;SA;HUB;1;TL0;TL;HUB;Directed;450;1.0;OUTER;HUB-HUB;CLUSTER;1
10;SA1;SA;HUB;11;SA2;SA;HUB;Directed;448;1.0;INTER;HUB-HUB;CLUSTER;1
10;SA1;SA;HUB;13;SA4;SA;HUB;Directed;449;1.0;INTER;HUB-HUB;CLUSTER;1
10;SA1;SA;HUB;118;AP2;AP;HUB;Directed;444;1.0;OUTER;HUB-HUB;CLUSTER;1
10;SA1;SA;HUB;119;AP3;AP;HUB;Directed;445;1.0;OUTER;HUB-HUB;CLUSTER;1
10;SA1;SA;HUB;121;AP5;AP;HUB;Directed;446;1.0;OUTER;HUB-HUB;CLUSTER;1
10;SA1;SA;HUB;122;AP6;AP;HUB;Directed;447;1.0;OUTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;1;TL0;TL;HUB;Directed;556;1.0;OUTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;10;SA1;SA;HUB;Directed;553;1.0;INTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;13;SA4;SA;HUB;Directed;554;1.0;INTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;14;SA5;SA;HUB;Directed;555;1.0;INTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;118;AP2;AP;HUB;Directed;548;1.0;OUTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;119;AP3;AP;HUB;Directed;549;1.0;OUTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;120;AP4;AP;HUB;Directed;550;1.0;OUTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;121;AP5;AP;HUB;Directed;551;1.0;OUTER;HUB-HUB;CLUSTER;1
11;SA2;SA;HUB;122;AP6;AP;HUB;Directed;552;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;1;TL0;TL;HUB;Directed;630;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;13;SA4;SA;HUB;Directed;628;1.0;INTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;14;SA5;SA;HUB;Directed;629;1.0;INTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;117;AP1;AP;HUB;Directed;623;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;118;AP2;AP;HUB;Directed;624;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;119;AP3;AP;HUB;Directed;625;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;121;AP5;AP;HUB;Directed;626;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;122;AP6;AP;HUB;Directed;627;1.0;OUTER;HUB-HUB;CLUSTER;1
12;SA3;SA;HUB;698;PR9;PR;X;Directed;15074;1.0;OUTER;HUB-X;CLUSTER;
13;SA4;SA;HUB;1;TL0;TL;HUB;Directed;706;1.0;OUTER;HUB-HUB;CLUSTER;1
13;SA4;SA;HUB;10;SA1;SA;HUB;Directed;703;1.0;INTER;HUB-HUB;CLUSTER;1
13;SA4;SA;HUB;11;SA2;SA;HUB;Directed;704;1.0;INTER;HUB-HUB;CLUSTER;1
13;SA4;SA;HUB;12;SA3;SA;HUB;Directed;705;1.0;INTER;HUB-HUB;CLUSTER;1
13;SA4;SA;HUB;118;AP2;AP;HUB;Directed;700;1.0;OUTER;HUB-HUB;CLUSTER;1
13;SA4;SA;HUB;119;AP3;AP;HUB;Directed;701;1.0;OUTER;HUB-HUB;CLUSTER;1
13;SA4;SA;HUB;120;AP4;AP;HUB;Directed;702;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;1;TL0;TL;HUB;Directed;715;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;12;SA3;SA;HUB;Directed;713;1.0;INTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;13;SA4;SA;HUB;Directed;714;1.0;INTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;117;AP1;AP;HUB;Directed;707;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;118;AP2;AP;HUB;Directed;708;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;119;AP3;AP;HUB;Directed;709;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;120;AP4;AP;HUB;Directed;710;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;121;AP5;AP;HUB;Directed;711;1.0;OUTER;HUB-HUB;CLUSTER;1
14;SA5;SA;HUB;122;AP6;AP;HUB;Directed;712;1.0;OUTER;HUB-HUB;CLUSTER;1
15;SA6;SA;X;1;TL0;TL;HUB;Directed;725;1.0;OUTER;X-HUB;X;1
15;SA6;SA;X;11;SA2;SA;HUB;Directed;718;1.0;INTER;X-HUB;CLUSTER;1
15;SA6;SA;X;16;SA7;SA;X;Directed;722;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;17;SA8;SA;X;Directed;723;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;18;SA9;SA;X;Directed;724;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;22;SA13;SA;X;Directed;716;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;24;SA15;SA;X;Directed;717;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;39;SA30;SA;X;Directed;719;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;41;SA32;SA;X;Directed;720;1.0;INTER;X-X;CLUSTER;1
15;SA6;SA;X;42;SA33;SA;X;Directed;721;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;1;TL0;TL;HUB;Directed;735;1.0;OUTER;X-HUB;X;1
16;SA7;SA;X;10;SA1;SA;HUB;Directed;726;1.0;INTER;X-HUB;CLUSTER;1
16;SA7;SA;X;11;SA2;SA;HUB;Directed;730;1.0;INTER;X-HUB;CLUSTER;1
16;SA7;SA;X;15;SA6;SA;X;Directed;734;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;19;SA10;SA;X;Directed;727;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;22;SA13;SA;X;Directed;728;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;26;SA17;SA;X;Directed;729;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;39;SA30;SA;X;Directed;731;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;41;SA32;SA;X;Directed;732;1.0;INTER;X-X;CLUSTER;1
16;SA7;SA;X;42;SA33;SA;X;Directed;733;1.0;INTER;X-X;CLUSTER;1
17;SA8;SA;X;1;TL0;TL;HUB;Directed;745;1.0;OUTER;X-HUB;X;1
17;SA8;SA;X;10;SA1;SA;HUB;Directed;736;1.0;INTER;X-HUB;CLUSTER;1
17;SA8;SA;X;11;SA2;SA;HUB;Directed;739;1.0;INTER;X-HUB;CLUSTER;1
17;SA8;SA;X;18;SA9;SA;X;Directed;744;1.0;INTER;X-X;CLUSTER;1
17;SA8;SA;X;21;SA12;SA;X;Directed;14409;1.0;INTER;X-X;CLUSTER;
17;SA8;SA;X;22;SA13;SA;X;Directed;737;1.0;INTER;X-X;CLUSTER;1
17;SA8;SA;X;26;SA17;SA;X;Directed;738;1.0;INTER;X-X;CLUSTER;1
17;SA8;SA;X;32;SA23;SA;X;Directed;740;1.0;INTER;X-X;CLUSTER;1
